index,pid,agg_cluster,x,y,cluster_7,conversation_id,construct,construct_bipolar,survey_id,survey_name,survey_endTime,pole_a,pole_b
218,59702A64-73C8-4CA6-9698-7793F94BBE04,442,6.4586215,4.516499,1,59702A64-73C8-4CA6-9698-7793F94BBE04,Unique ingredients,Familiar ingredients,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.993867+00:00,Unique ingredients,Familiar ingredients
219,59702A64-73C8-4CA6-9698-7793F94BBE04,548,3.4960651,2.910873,2,59702A64-73C8-4CA6-9698-7793F94BBE04,Passionate preparation,Casual preparation,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.993867+00:00,Passionate preparation,Casual preparation
219,59702A64-73C8-4CA6-9698-7793F94BBE04,548,3.4960651,2.910873,2,59702A64-73C8-4CA6-9698-7793F94BBE04,Dedicated preparation,Lack of care,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.993867+00:00,Dedicated preparation,Lack of care
219,59702A64-73C8-4CA6-9698-7793F94BBE04,548,3.4960651,2.910873,2,59702A64-73C8-4CA6-9698-7793F94BBE04,Unique ingredients,Familiar ingredients,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.993867+00:00,Unique ingredients,Familiar ingredients
220,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,575,5.7093678,4.7976594,1,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Simple,Complicated/Sophisticated,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Simple,Complicated/Sophisticated
220,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,575,5.7093678,4.7976594,1,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Common/accessible,Regional/specialty,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Common/accessible,Regional/specialty
220,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,575,5.7093678,4.7976594,1,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Often eaten,Occasionally eaten,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Often eaten,Occasionally eaten
220,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,575,5.7093678,4.7976594,1,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Delicate,Heavy,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Delicate,Heavy
221,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,592,5.884346,3.9031737,1,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Simple,Complicated/Sophisticated,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Simple,Complicated/Sophisticated
221,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,592,5.884346,3.9031737,1,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Common/accessible,Regional/specialty,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Common/accessible,Regional/specialty
221,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,592,5.884346,3.9031737,1,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Often eaten,Occasionally eaten,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Often eaten,Occasionally eaten
221,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,592,5.884346,3.9031737,1,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Delicate,Heavy,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Delicate,Heavy
222,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,502,4.772948,6.5671697,3,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Simple,Complicated/Sophisticated,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Simple,Complicated/Sophisticated
222,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,502,4.772948,6.5671697,3,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Common/accessible,Regional/specialty,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Common/accessible,Regional/specialty
222,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,502,4.772948,6.5671697,3,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Often eaten,Occasionally eaten,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Often eaten,Occasionally eaten
222,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,502,4.772948,6.5671697,3,61A7B6F7-B186-4144-9D1D-C7A80F2F0601,Delicate,Heavy,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.612502+00:00,Delicate,Heavy
223,624B60D1-2EC8-4987-908B-AF31D4CCBE03,539,3.76265,6.375219,3,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Served with Rice,Served alone,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Served with Rice,Served alone
223,624B60D1-2EC8-4987-908B-AF31D4CCBE03,539,3.76265,6.375219,3,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Roasted,Fried,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Roasted,Fried
223,624B60D1-2EC8-4987-908B-AF31D4CCBE03,539,3.76265,6.375219,3,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Fried,Stewed,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Fried,Stewed
223,624B60D1-2EC8-4987-908B-AF31D4CCBE03,539,3.76265,6.375219,3,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Time-consuming,Simple,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Time-consuming,Simple
224,624B60D1-2EC8-4987-908B-AF31D4CCBE03,415,3.3033006,4.5288463,4,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Served with Rice,Served alone,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Served with Rice,Served alone
224,624B60D1-2EC8-4987-908B-AF31D4CCBE03,415,3.3033006,4.5288463,4,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Roasted,Fried,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Roasted,Fried
224,624B60D1-2EC8-4987-908B-AF31D4CCBE03,415,3.3033006,4.5288463,4,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Fried,Stewed,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Fried,Stewed
224,624B60D1-2EC8-4987-908B-AF31D4CCBE03,415,3.3033006,4.5288463,4,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Time-consuming,Simple,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Time-consuming,Simple
225,624B60D1-2EC8-4987-908B-AF31D4CCBE03,226,2.6441462,4.994401,4,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Served with Rice,Served alone,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Served with Rice,Served alone
225,624B60D1-2EC8-4987-908B-AF31D4CCBE03,226,2.6441462,4.994401,4,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Roasted,Fried,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Roasted,Fried
225,624B60D1-2EC8-4987-908B-AF31D4CCBE03,226,2.6441462,4.994401,4,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Fried,Stewed,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Fried,Stewed
225,624B60D1-2EC8-4987-908B-AF31D4CCBE03,226,2.6441462,4.994401,4,624B60D1-2EC8-4987-908B-AF31D4CCBE03,Time-consuming,Simple,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,,Time-consuming,Simple
226,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,4,9.804153,6.725887,0,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,Yogurt Crunch Pudding,not Yogurt Crunch Pudding,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:22.954218+00:00,Yogurt Crunch Pudding,not Yogurt Crunch Pudding
226,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,4,9.804153,6.725887,0,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,Chilli Cauliflower,not Chilli Cauliflower,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:22.954218+00:00,Chilli Cauliflower,not Chilli Cauliflower
226,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,4,9.804153,6.725887,0,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,Cheese French Toast,not Cheese French Toast,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:22.954218+00:00,Cheese French Toast,not Cheese French Toast
227,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,4,9.816926,6.6080465,0,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,Yogurt Crunch Pudding,not Yogurt Crunch Pudding,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:22.954218+00:00,Yogurt Crunch Pudding,not Yogurt Crunch Pudding
227,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,4,9.816926,6.6080465,0,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,Chilli Cauliflower,not Chilli Cauliflower,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:22.954218+00:00,Chilli Cauliflower,not Chilli Cauliflower
227,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,4,9.816926,6.6080465,0,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,Cheese French Toast,not Cheese French Toast,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:22.954218+00:00,Cheese French Toast,not Cheese French Toast
228,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,4,10.217031,6.557564,0,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,Yogurt Crunch Pudding,not Yogurt Crunch Pudding,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:22.954218+00:00,Yogurt Crunch Pudding,not Yogurt Crunch Pudding
228,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,4,10.217031,6.557564,0,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,Chilli Cauliflower,not Chilli Cauliflower,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:22.954218+00:00,Chilli Cauliflower,not Chilli Cauliflower
228,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,4,10.217031,6.557564,0,687DDB8D-E5FD-42BF-B65B-2D0A9E749985,Cheese French Toast,not Cheese French Toast,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:22.954218+00:00,Cheese French Toast,not Cheese French Toast
229,68D081C3-A7ED-4455-A66B-EA0625AB5F82,579,7.363817,3.8670578,1,68D081C3-A7ED-4455-A66B-EA0625AB5F82,Complementary ingredients,Contrasting ingredients,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.654849+00:00,Complementary ingredients,Contrasting ingredients
230,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.496202,4.5346794,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Seffa,not Seffa,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Seffa,not Seffa
230,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.496202,4.5346794,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Madfouna,not Madfouna,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Madfouna,not Madfouna
230,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.496202,4.5346794,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Italian Pasta,not Italian Pasta,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Italian Pasta,not Italian Pasta
230,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.496202,4.5346794,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Couscous,not Couscous,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Couscous,not Couscous
230,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.496202,4.5346794,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Chicken Pastilla,not Chicken Pastilla,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Chicken Pastilla,not Chicken Pastilla
231,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.5687275,4.6586065,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Seffa,not Seffa,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Seffa,not Seffa
231,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.5687275,4.6586065,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Madfouna,not Madfouna,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Madfouna,not Madfouna
231,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.5687275,4.6586065,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Italian Pasta,not Italian Pasta,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Italian Pasta,not Italian Pasta
231,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.5687275,4.6586065,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Couscous,not Couscous,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Couscous,not Couscous
231,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,11.5687275,4.6586065,5,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Chicken Pastilla,not Chicken Pastilla,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Chicken Pastilla,not Chicken Pastilla
232,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,4,9.949546,6.180868,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Seffa,not Seffa,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Seffa,not Seffa
232,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,4,9.949546,6.180868,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Madfouna,not Madfouna,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Madfouna,not Madfouna
232,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,4,9.949546,6.180868,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Italian Pasta,not Italian Pasta,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Italian Pasta,not Italian Pasta
232,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,4,9.949546,6.180868,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Couscous,not Couscous,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Couscous,not Couscous
232,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,4,9.949546,6.180868,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Chicken Pastilla,not Chicken Pastilla,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Chicken Pastilla,not Chicken Pastilla
233,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,10.614402,5.642228,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Seffa,not Seffa,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Seffa,not Seffa
233,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,10.614402,5.642228,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Madfouna,not Madfouna,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Madfouna,not Madfouna
233,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,10.614402,5.642228,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Italian Pasta,not Italian Pasta,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Italian Pasta,not Italian Pasta
233,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,10.614402,5.642228,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Couscous,not Couscous,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Couscous,not Couscous
233,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,2,10.614402,5.642228,0,6C319D1D-6769-4C8E-B1C2-BE31A3BD6E31,Chicken Pastilla,not Chicken Pastilla,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.899916+00:00,Chicken Pastilla,not Chicken Pastilla
234,7576E094-F6A8-42C6-9ED9-0FFE43858695,436,5.2999864,5.3279,3,7576E094-F6A8-42C6-9ED9-0FFE43858695,Smooth,Textured,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.213746+00:00,Smooth,Textured
234,7576E094-F6A8-42C6-9ED9-0FFE43858695,436,5.2999864,5.3279,3,7576E094-F6A8-42C6-9ED9-0FFE43858695,Refreshing,Indulgent,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.213746+00:00,Refreshing,Indulgent
234,7576E094-F6A8-42C6-9ED9-0FFE43858695,436,5.2999864,5.3279,3,7576E094-F6A8-42C6-9ED9-0FFE43858695,Special,Everyday,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.213746+00:00,Special,Everyday
234,7576E094-F6A8-42C6-9ED9-0FFE43858695,436,5.2999864,5.3279,3,7576E094-F6A8-42C6-9ED9-0FFE43858695,Quick,Time-consuming,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.213746+00:00,Quick,Time-consuming
235,7576E094-F6A8-42C6-9ED9-0FFE43858695,580,3.637657,3.748572,6,7576E094-F6A8-42C6-9ED9-0FFE43858695,Smooth,Textured,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.213746+00:00,Smooth,Textured
235,7576E094-F6A8-42C6-9ED9-0FFE43858695,580,3.637657,3.748572,6,7576E094-F6A8-42C6-9ED9-0FFE43858695,Refreshing,Indulgent,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.213746+00:00,Refreshing,Indulgent
235,7576E094-F6A8-42C6-9ED9-0FFE43858695,580,3.637657,3.748572,6,7576E094-F6A8-42C6-9ED9-0FFE43858695,Special,Everyday,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.213746+00:00,Special,Everyday
235,7576E094-F6A8-42C6-9ED9-0FFE43858695,580,3.637657,3.748572,6,7576E094-F6A8-42C6-9ED9-0FFE43858695,Quick,Time-consuming,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.213746+00:00,Quick,Time-consuming
236,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,380,3.1109433,5.9233418,3,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Healthy (Vegetable Stir-Fry),Less Healthy (Fried Rice and Toast with Scrambled Eggs),33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Healthy (Vegetable Stir-Fry),Less Healthy (Fried Rice and Toast with Scrambled Eggs)
236,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,380,3.1109433,5.9233418,3,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Formal,Informal Meals,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Formal,Informal Meals
236,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,380,3.1109433,5.9233418,3,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Quick and Simple,Complex and Time-Consuming,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Quick and Simple,Complex and Time-Consuming
236,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,380,3.1109433,5.9233418,3,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Vegetarian,Non-Vegetarian,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Vegetarian,Non-Vegetarian
237,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,421,4.340691,5.029092,6,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Healthy (Vegetable Stir-Fry),Less Healthy (Fried Rice and Toast with Scrambled Eggs),33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Healthy (Vegetable Stir-Fry),Less Healthy (Fried Rice and Toast with Scrambled Eggs)
237,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,421,4.340691,5.029092,6,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Formal,Informal Meals,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Formal,Informal Meals
237,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,421,4.340691,5.029092,6,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Quick and Simple,Complex and Time-Consuming,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Quick and Simple,Complex and Time-Consuming
237,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,421,4.340691,5.029092,6,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Vegetarian,Non-Vegetarian,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Vegetarian,Non-Vegetarian
238,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,50,6.04069,5.8684764,1,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Healthy (Vegetable Stir-Fry),Less Healthy (Fried Rice and Toast with Scrambled Eggs),33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Healthy (Vegetable Stir-Fry),Less Healthy (Fried Rice and Toast with Scrambled Eggs)
238,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,50,6.04069,5.8684764,1,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Formal,Informal Meals,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Formal,Informal Meals
238,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,50,6.04069,5.8684764,1,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Quick and Simple,Complex and Time-Consuming,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Quick and Simple,Complex and Time-Consuming
238,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,50,6.04069,5.8684764,1,75F44D60-6B7F-4FB9-B895-3CC4D98F5B87,Vegetarian,Non-Vegetarian,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.699208+00:00,Vegetarian,Non-Vegetarian
239,75F4733A-5F48-48EF-BB17-77472736919A,4,10.33208,6.328884,0,75F4733A-5F48-48EF-BB17-77472736919A,Paella,not Paella,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.151391+00:00,Paella,not Paella
239,75F4733A-5F48-48EF-BB17-77472736919A,4,10.33208,6.328884,0,75F4733A-5F48-48EF-BB17-77472736919A,Beef Wellington,not Beef Wellington,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.151391+00:00,Beef Wellington,not Beef Wellington
239,75F4733A-5F48-48EF-BB17-77472736919A,4,10.33208,6.328884,0,75F4733A-5F48-48EF-BB17-77472736919A,Chocolate Fondue,not Chocolate Fondue,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.151391+00:00,Chocolate Fondue,not Chocolate Fondue
240,75F4733A-5F48-48EF-BB17-77472736919A,4,10.0876665,6.4073377,0,75F4733A-5F48-48EF-BB17-77472736919A,Paella,not Paella,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.151391+00:00,Paella,not Paella
240,75F4733A-5F48-48EF-BB17-77472736919A,4,10.0876665,6.4073377,0,75F4733A-5F48-48EF-BB17-77472736919A,Beef Wellington,not Beef Wellington,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.151391+00:00,Beef Wellington,not Beef Wellington
240,75F4733A-5F48-48EF-BB17-77472736919A,4,10.0876665,6.4073377,0,75F4733A-5F48-48EF-BB17-77472736919A,Chocolate Fondue,not Chocolate Fondue,33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:24.151391+00:00,Chocolate Fondue,not Chocolate Fondue
241,7AA4CD17-4615-443C-BC91-B5A9A10348ED,561,5.810987,6.0419655,1,7AA4CD17-4615-443C-BC91-B5A9A10348ED,Easy (Soup),Difficult (Chicken Karahi),33d6c3f1-783f-4f54-b313-39eeeb08f2eb,Contrast and Reflection,2025-01-08 07:37:23.117534+00:00,Easy (Soup),Difficult (Chicken Karahi)
